 Itr        F(x)         ||F'(x)||          H(x)           Res(H) 
-----    ----------     -----------      ----------      ----------
  1      4.4156e+00      5.4299e-01      6.3054e+00      7.9314e-07
  2      1.6164e+00      2.0442e-01      5.4561e+00      2.4367e-06
  3      1.0668e+00      1.4233e-01      4.2669e+00      1.2957e-05
  4      8.3021e-01      1.1778e-01      3.4414e+00      1.8391e-05
  5      7.7666e-01      1.1091e-01      3.1374e+00      1.1859e-05
  6      7.5986e-01      1.0782e-01      2.9765e+00      2.2193e-05
  7      7.5163e-01      1.0582e-01      2.8692e+00     -8.7366e-06
  8      7.4600e-01      1.0426e-01      2.7798e+00     -2.1922e-05
  9      7.3825e-01      1.0267e-01      2.6934e+00     -1.1327e-05
 10      7.2907e-01      1.0070e-01      2.6189e+00     -1.1787e-05
 11      7.2128e-01      9.8844e-02      2.5518e+00      1.4483e-05
 12      7.1387e-01      9.7005e-02      2.4892e+00      2.5214e-05
 13      7.0657e-01      9.5143e-02      2.4311e+00     -2.3039e-05
 14      6.9972e-01      9.3264e-02      2.3730e+00      1.3735e-05
 15      6.9226e-01      9.1323e-02      2.3194e+00      2.0743e-05
 16      6.8566e-01      8.9430e-02      2.2657e+00      2.5469e-05
 17      6.7962e-01      8.7540e-02      2.2106e+00      1.6833e-05
 18      6.7384e-01      8.5600e-02      2.1495e+00     -1.8458e-05
 19      6.6724e-01      8.3562e-02      2.0705e+00     -5.2592e-06
 20      6.6026e-01      8.1612e-02      1.9751e+00     -1.8221e-06
 21      6.5255e-01      7.9647e-02      1.8694e+00      2.3576e-06
 22      6.4351e-01      7.7683e-02      1.7501e+00     -7.4480e-06
 23      6.3320e-01      7.5805e-02      1.6190e+00      1.2339e-05
 24      6.2297e-01      7.4117e-02      1.4983e+00      3.1859e-06
 25      6.1384e-01      7.2629e-02      1.3955e+00     -2.7709e-06
 26      6.0589e-01      7.1282e-02      1.3120e+00     -5.8969e-06
 27      5.9820e-01      7.0032e-02      1.2405e+00      3.0883e-05
 28      5.9122e-01      6.8867e-02      1.1899e+00     -3.1050e-05
 29      5.8495e-01      6.7812e-02      1.1496e+00     -2.3261e-05
 30      5.7924e-01      6.6835e-02      1.1228e+00     -1.8661e-05
 31      5.7402e-01      6.5974e-02      1.1019e+00      8.9300e-06
 32      5.6949e-01      6.5240e-02      1.0900e+00      7.5116e-06
 33      5.6592e-01      6.4633e-02      1.0855e+00     -3.1496e-05
 34      5.6321e-01      6.4138e-02      1.1049e+00     -1.3623e-05
 35      5.6436e-01      6.3924e-02      1.1198e+00      7.8666e-07
 36      5.6684e-01      6.3857e-02      1.1288e+00      3.3233e-05
 37      5.7023e-01      6.3897e-02      1.1377e+00     -2.8670e-06
 38      5.7449e-01      6.4021e-02      1.1437e+00     -3.1341e-05
 39      5.7634e-01      6.4182e-02      1.1273e+00     -1.3413e-05
 40      5.7507e-01      6.3898e-02      1.1124e+00      6.1199e-06
 41      5.7461e-01      6.3672e-02      1.1064e+00      2.5926e-05
 42      5.7395e-01      6.3482e-02      1.1005e+00      1.7026e-05
 43      5.7363e-01      6.3329e-02      1.0975e+00     -1.4565e-05
 44      5.7335e-01      6.3204e-02      1.0930e+00     -3.6929e-06
 45      5.7310e-01      6.3093e-02      1.0900e+00     -1.7817e-07
 46      5.7286e-01      6.2997e-02      1.0870e+00      1.6081e-05
 47      5.7262e-01      6.2915e-02      1.0855e+00     -1.6702e-05
 48      5.7259e-01      6.2848e-02      1.0826e+00      1.5342e-05
 49      5.7237e-01      6.2780e-02      1.0811e+00      1.5743e-07
 50      5.7227e-01      6.2723e-02      1.0796e+00     -1.6097e-06
 51      5.7219e-01      6.2671e-02      1.0781e+00     -3.9174e-06
